,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,odienne,9.51,-7.57,68.58,96,65,3.74,CI,1596937078
1,katangli,51.71,143.23,69.31,59,0,13.69,RU,1596937079
2,cape town,-33.93,18.42,55.99,87,75,13.87,ZA,1596936374
3,lompoc,34.64,-120.46,70.0,68,8,12.75,US,1596936433
4,bandarbeyla,9.49,50.81,79.45,53,0,28.72,SO,1596936686
5,kavieng,-2.57,150.8,83.17,73,97,6.06,PG,1596936595
6,seymchan,62.88,152.43,68.52,44,27,4.43,RU,1596937085
7,atuona,-9.8,-139.03,79.52,75,4,22.91,PF,1596936591
8,bluff,-46.6,168.33,48.99,88,100,17.0,NZ,1596936581
9,saint-louis,16.33,-15.0,86.0,70,69,4.7,SN,1596937089
10,dikson,73.51,80.55,40.96,95,100,20.67,RU,1596936596
11,te anau,-45.42,167.72,45.01,84,100,6.67,NZ,1596936596
12,hithadhoo,-0.6,73.08,82.35,78,96,10.54,MV,1596936461
13,albany,42.6,-73.97,72.0,69,0,2.35,US,1596936293
14,iquique,-20.22,-70.14,59.0,77,0,9.17,CL,1596937095
15,tasiilaq,65.61,-37.64,42.8,87,100,11.41,GL,1596936616
16,busselton,-33.65,115.33,55.99,56,100,38.39,AU,1596937048
17,jamestown,42.1,-79.24,68.0,60,1,3.36,US,1596936989
18,hobart,-42.88,147.33,45.0,75,20,8.05,AU,1596936489
19,vaini,-21.2,-175.2,77.0,65,40,9.17,TO,1596936500
20,lagoa,39.05,-27.98,68.68,64,0,0.96,PT,1596936618
21,rikitea,-23.12,-134.97,70.63,69,3,18.66,PF,1596937049
22,vila franca do campo,37.72,-25.43,69.8,88,20,5.82,PT,1596936606
23,qaanaaq,77.48,-69.36,39.45,70,27,5.7,GL,1596936574
24,khatanga,71.97,102.5,50.85,90,98,10.94,RU,1596936599
25,tiksi,71.69,128.87,38.53,92,100,18.86,RU,1596936632
26,mount gambier,-37.83,140.77,53.6,76,90,14.99,AU,1596936578
27,piacabucu,-10.41,-36.43,73.15,87,2,10.45,BR,1596937110
28,mataura,-46.19,168.86,48.99,88,100,17.0,NZ,1596936586
29,punta arenas,-53.15,-70.92,35.6,82,12,5.82,CL,1596937053
30,georgetown,5.41,100.34,84.2,83,20,3.36,MY,1596936541
31,ushuaia,-54.8,-68.3,35.6,80,20,16.11,AR,1596936576
32,fasa,28.94,53.65,77.0,31,100,4.7,IR,1596937115
33,loiza,18.43,-65.88,84.2,74,20,10.29,PR,1596936935
34,strezhevoy,60.73,77.59,66.2,72,0,4.47,RU,1596937075
